output_1,output_2
41,1
52,10
31,-1
37,3
27,-21
36,-4
37,23
34,-16
34,-14
43,17
45,5
33,1
70,2
58,18
40,40
38,-6
62,-6
51,3
48,-28
44,-10
68,6
51,11
51,-3
49,-1
26,8
59,3
53,7
40,-20
68,2
41,7
37,3
48,-4
42,-18
54,20
35,-1
40,34
41,3
90,-50
26,-14
30,-24
25,5
52,4
64,-10
51,-31
44,-12
41,5
36,14
35,-3
54,14
30,-16
65,-3
35,17
68,-28
31,25
34,8
59,3
52,6
36,-24
30,-24
41,-7
41,-35
51,-19
43,3
27,21
60,20
45,5
27,-7
66,-18
47,-15
34,34
39,-7
40,-2
37,9
54,14
47,7
52,10
52,-32
30,-4
27,-11
40,8
32,6
30,-4
36,-2
40,8
57,-17
63,-21
33,-7
38,-4
35,-17
34,-6
26,14
23,-5
37,3
55,7
29,3
44,-32
77,1
21,-7
54,-4
42,-18
30,-10
24,24
36,-2
48,-14
48,-14
39,-5
42,-6
65,11
48,-14
23,3
69,7
28,-2
63,-23
51,-5
34,14
30,10
44,-4
33,-15
48,14
55,7
43,-17
40,-12
36,-4
35,-7
59,3
27,-27
40,-34
41,-7
37,3
76,-2
23,-17
40,14
51,-5
36,-24
42,-6
33,21
29,-3
16,4
37,31
42,-4
46,-8
57,3
64,2
26,-14
79,3
48,-2
66,-32
55,-3
28,-4
46,2
54,-14
57,-5
43,23
37,-5
43,-3
50,12
23,-3
33,-7
48,-20
41,-13
38,-26
33,-1
41,-1
38,4
51,7
55,-35
44,18
47,21
27,-7
47,-7
39,-9
26,6
17,-3
45,3
41,-17
51,23
71,-3
48,14
30,10
22,2
76,-6
61,5
59,3
60,30
39,-5
6,6
34,14
21,5
39,-3
61,23
55,-17
46,-8
65,3
39,3
34,-22
68,-6
58,-4
36,-24
48,-20
54,4
41,-15
44,-12
3,3
37,3
31,17
46,-20
46,-2
55,1
84,-42
51,-3
43,-17
59,-25
44,10
16,-2
54,14
37,-3
30,-18
35,3
30,-30
74,16
48,-8
41,-21
30,16
37,-3
52,-8
45,-23
46,2
37,3
54,6
63,3
58,14
58,-2
39,-19
42,-18
43,-11
42,-2
49,3
34,6
58,-8
52,14
57,-17
39,-1
54,-20
51,1
36,10
37,17
75,-37
43,-3
26,-26
48,-6
66,4
29,-23
53,7
42,-8
25,-7
43,23
27,7
42,4
50,-10
65,-31
45,-17
9,9
48,-8
20,14
41,1
48,28
26,-8
41,-13
41,1
37,-17
25,1
35,7
59,-31
33,-19
80,16
47,-1
48,-14
41,-23
44,-24
45,-3
54,-8
51,3
27,7
65,-3
47,-3
