Lamar Jackson
Josh Allen
Joe Burrow
Deshaun Watson
Jarrett Stidham
Bo Nix
C.J. Stroud
Anthony Richardson
Trevor Lawrence
Patrick Mahomes
Aidan O’Connell
Gardner Minshew
Justin Herbert
Tua Tagovailoa
Jacoby Brissett
Drake Maye
Aaron Rodgers
Russell Wilson
Justin Fields
Will Levis
Kirk Cousins
Michael Penix Jr.
Kyler Murray
Bryce Young
Caleb Williams
Dak Prescott
Jared Goff
Jordan Love
Matthew Stafford
Sam Darnold
J.J. McCarthy
Derek Carr
Daniel Jones
Jalen Hurts
Brock Purdy
Geno Smith
Baker Mayfield
Marcus Mariota
Jayden Daniels
